seed = 1686, n = 10, kappa = 4.28e+00, iterations = 11, message = success
seed = 1686, n = 10, kappa = 6.16e+00, iterations = 16, message = success
seed = 1686, n = 10, kappa = 8.86e+00, iterations = 23, message = success
seed = 1686, n = 10, kappa = 1.27e+01, iterations = 33, message = success
seed = 1686, n = 10, kappa = 1.83e+01, iterations = 22, message = success
seed = 1686, n = 10, kappa = 2.64e+01, iterations = 69, message = success
seed = 1686, n = 10, kappa = 3.79e+01, iterations = 98, message = success
seed = 1686, n = 10, kappa = 5.46e+01, iterations = 71, message = success
seed = 1686, n = 10, kappa = 7.85e+01, iterations = 150, message = success
seed = 1686, n = 10, kappa = 1.13e+02, iterations = 250, message = success
seed = 1686, n = 10, kappa = 1.62e+02, iterations = 20, message = success
seed = 1686, n = 10, kappa = 2.34e+02, iterations = 522, message = success
seed = 1686, n = 10, kappa = 3.36e+02, iterations = 613, message = success
seed = 1686, n = 10, kappa = 4.83e+02, iterations = 51, message = success
seed = 1686, n = 10, kappa = 6.95e+02, iterations = 1528, message = success
seed = 1686, n = 10, kappa = 1.00e+03, iterations = 1850, message = success
seed = 770, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 770, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 770, n = 10, kappa = 2.07e+00, iterations = 7, message = success
seed = 770, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 770, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 770, n = 10, kappa = 6.16e+00, iterations = 14, message = success
seed = 770, n = 10, kappa = 8.86e+00, iterations = 21, message = success
seed = 770, n = 10, kappa = 1.27e+01, iterations = 29, message = success
seed = 770, n = 10, kappa = 1.83e+01, iterations = 44, message = success
seed = 770, n = 10, kappa = 2.64e+01, iterations = 32, message = success
seed = 770, n = 10, kappa = 3.79e+01, iterations = 59, message = success
seed = 770, n = 10, kappa = 5.46e+01, iterations = 13, message = success
seed = 770, n = 10, kappa = 7.85e+01, iterations = 21, message = success
seed = 770, n = 10, kappa = 1.13e+02, iterations = 210, message = success
seed = 770, n = 10, kappa = 1.62e+02, iterations = 164, message = success
seed = 770, n = 10, kappa = 2.34e+02, iterations = 447, message = success
seed = 770, n = 10, kappa = 3.36e+02, iterations = 486, message = success
seed = 770, n = 10, kappa = 4.83e+02, iterations = 687, message = success
seed = 770, n = 10, kappa = 6.95e+02, iterations = 1446, message = success
seed = 770, n = 10, kappa = 1.00e+03, iterations = 1018, message = success
seed = 6950, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 6950, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 6950, n = 10, kappa = 2.07e+00, iterations = 5, message = success
seed = 6950, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 6950, n = 10, kappa = 4.28e+00, iterations = 12, message = success
seed = 6950, n = 10, kappa = 6.16e+00, iterations = 16, message = success
seed = 6950, n = 10, kappa = 8.86e+00, iterations = 25, message = success
seed = 6950, n = 10, kappa = 1.27e+01, iterations = 34, message = success
seed = 6950, n = 10, kappa = 1.83e+01, iterations = 51, message = success
seed = 6950, n = 10, kappa = 2.64e+01, iterations = 64, message = success
seed = 6950, n = 10, kappa = 3.79e+01, iterations = 51, message = success
seed = 6950, n = 10, kappa = 5.46e+01, iterations = 127, message = success
seed = 6950, n = 10, kappa = 7.85e+01, iterations = 95, message = success
seed = 6950, n = 10, kappa = 1.13e+02, iterations = 118, message = success
seed = 6950, n = 10, kappa = 1.62e+02, iterations = 212, message = success
seed = 6950, n = 10, kappa = 2.34e+02, iterations = 355, message = success
seed = 6950, n = 10, kappa = 3.36e+02, iterations = 354, message = success
seed = 6950, n = 10, kappa = 4.83e+02, iterations = 67, message = success
